Date,Open,High,Low,Close,Adj Close,Volume
"Jul 28, 2008","11,369.47","11,369.55","11,125.13","11,131.08","11,131.08","1,975,500"
"Jul 25, 2008","11,341.14","11,443.81","11,325.10","11,370.69","11,370.69","1,909,200"
"Jul 24, 2008","11,630.34","11,634.49","11,345.37","11,349.28","11,349.28","2,411,400"
"Jul 23, 2008","11,603.39","11,698.17","11,558.29","11,632.38","11,632.38","2,645,200"
"Jul 22, 2008","11,457.90","11,616.66","11,387.39","11,602.50","11,602.50","2,736,900"
"Jul 21, 2008","11,495.02","11,559.67","11,423.94","11,467.34","11,467.34","2,128,500"
"Jul 18, 2008","11,436.56","11,510.82","11,381.93","11,496.57","11,496.57","3,786,100"
"Jul 17, 2008","11,238.39","11,446.66","11,209.56","11,446.66","11,446.66","3,352,600"
"Jul 16, 2008","10,961.89","11,244.17","10,918.33","11,239.28","11,239.28","3,075,900"
"Jul 15, 2008","11,050.80","11,123.67","10,827.71","10,962.54","10,962.54","3,313,900"
"Jul 14, 2008","11,103.64","11,239.04","11,003.65","11,055.19","11,055.19","2,053,600"
"Jul 11, 2008","11,226.17","11,241.07","10,977.68","11,100.54","11,100.54","2,750,100"
"Jul 10, 2008","11,148.01","11,270.30","11,086.95","11,229.02","11,229.02","2,480,100"
"Jul 09, 2008","11,381.93","11,418.24","11,141.99","11,147.44","11,147.44","2,271,000"
"Jul 08, 2008","11,225.03","11,391.13","11,174.88","11,384.21","11,384.21","2,715,000"
"Jul 07, 2008","11,289.19","11,399.11","11,120.74","11,231.96","11,231.96","2,482,400"
"Jul 03, 2008","11,216.00","11,337.48","11,157.21","11,288.54","11,288.54","1,769,100"
"Jul 02, 2008","11,382.34","11,434.12","11,214.37","11,215.51","11,215.51","2,306,900"
